provider,model,N,input_tokens,output_tokens
anthropic,claude-3-5-haiku-20241022,191,777439,45171
anthropic,claude-3-5-sonnet-20241022,323,1324111,78745
anthropic,claude-3-7-sonnet-20250219,48,213552,12727
anthropic,claude-3-haiku-20240307,198,801559,45423
anthropic,claude-3-opus-20240229,40,162850,9766
cohere,command,345,1370524,82938
cohere,command-r-08-2024,400,1857208,109485
cohere,command-r-plus-08-2024,91,416276,23858
cohere,command-r7b-12-2024,599,3306596,167608
deepseek,deepseek-chat,200,747549,47382
deepseek,deepseek-reasoner,399,1493265,1377224
google,gemini-1.5-flash,1414,5691135,378498
google,gemini-1.5-flash-8b,394,1590455,106107
google,gemini-1.5-pro,393,1582142,104593
google,gemini-2.0-flash,400,1607008,107008
google,gemma2,186,0,0
meta,llama3.2,294,0,0
microsoft,phi3.5,231,0,0
microsoft,phi4,190,0,0
mistralai,ministral-3b-latest,119,461654,32702
mistralai,ministral-8b-latest,111,437562,30020
mistralai,mistral-large-latest,158,688269,43786
mistralai,mistral-small-latest,339,1343131,89663
mistralai,open-mistral-7b,54,212945,14930
mistralai,open-mistral-nemo,102,408770,26786
mistralai,open-mixtral-8x22b,519,2245279,145288
mistralai,open-mixtral-8x7b,281,1223069,79211
openai,gpt-3.5-turbo,378,1419034,92388
openai,gpt-4,20,75570,4693
openai,gpt-4-turbo,40,151145,9396
openai,gpt-4o,200,748918,46830
openai,gpt-4o-mini,396,1484201,92562
