model,estimate,std.error,p.value
claude-3-5-sonnet-20241022,3.425368230698351,1.5930029864264048,0.008110912711328475
claude-3-7-sonnet-20250219,3.8627467239023248,1.819414007866986,0.0041167581865834335
claude-3-7-sonnet-20250219-think=high,1.2164734929350725,0.5387930042590875,0.6581818278660863
claude-3-7-sonnet-20250219-think=low,1.6321126227789282,0.7252539015913745,0.2702808015099847
claude-3-haiku-20240307,0.42534041748746987,0.19965095244484032,0.0685730264011037
claude-3-opus-20240229,1.8027093264907348,0.8034375877026418,0.18609547483425848
claude-sonnet-4-20250514,1.2164734929350725,0.5387930042590628,0.6581818278660717
claude-sonnet-4-5-20250929,1.000026519764942,0.443980698941077,0.9999523402895347
command,0.24500476489433048,0.12458488077240225,0.005675979622611795
command-a-03-2025,0.5368967864591915,0.24631009270325213,0.17519458096145824
command-r-08-2024,0.3754058257578281,0.17884905181667737,0.039734402640085105
command-r7b-12-2024,0.3288961514552115,0.1595008296358016,0.021847474932221656
command-r7b-12-2024-t=1,0.6668086323595861,0.3010710905511177,0.3694267526224236
deepseek-chat,1.3412161630124948,0.5941496729133893,0.5075152240493649
deepseek-reasoner,0.905739376604093,0.4031710365875873,0.8239903656259113
gemini-1.5-flash,0.7399310307860186,0.3321211147732399,0.5021961704004121
gemini-1.5-flash-8b,0.24500476489433048,0.12458488077241463,0.005675979622616581
gemini-1.5-flash-8b-t=1,0.285516123911259,0.141457906653503,0.01140771983630286
gemini-1.5-pro,1.6321126227789284,0.7252539015913331,0.27028080150995704
gemini-2.0-flash,1.6321126227789282,0.7252539015913453,0.2702808015099653
gemini-2.5-pro-preview-03-25,2.7319949205575194,1.2456828168487915,0.027509803281203445
gemma,0.3288961514552117,0.15950082963573903,0.021847474932169885
gemma2:27b,1.000026519764942,0.44398069894096553,0.9999523402895351
gpt-3.5-turbo,0.3288961514552118,0.1595008296357783,0.021847474932202383
gpt-4,0.47904479839437714,0.2220761448880304,0.11238672370165748
gpt-4-turbo,0.5993199555388258,0.27256085747656006,0.2602833710490969
gpt-4.5-preview,0.7399310307860193,0.33212111477325823,0.5021961704004365
gpt-4o,0.7399310307860184,0.3321211147732893,0.5021961704004754
gpt-4o-mini,0.285516123911259,0.14145790665351782,0.011407719836311477
gpt-5,1.6321126227789287,0.7252539015912954,0.2702808015099321
granite3.3,0.5993199555388257,0.2725608574765928,0.2602833710491542
grok-2-1212,0.5368967864591916,0.24631009270329215,0.17519458096152848
grok-3-beta,3.052770449002171,1.4045671458128688,0.015279359783238862
grok-3-mini-beta,0.9057393766040923,0.4031710365875158,0.8239903656258794
grok-3-mini-beta-r=high,1.8027093264907343,0.8034375877027479,0.1860954748343169
grok-3-mini-beta-r=low,1.6321126227789287,0.7252539015912525,0.2702808015099037
grok-3-mini-fast-beta,1.000026519764942,0.44398069894094705,0.999952340289535
grok-3-mini-fast-beta-r=high,1.6321126227789284,0.7252539015913416,0.2702808015099628
grok-3-mini-fast-beta-r=low,1.3412161630124944,0.5941496729134402,0.5075152240494019
grok-4-fast-non-reasoning,1.6321126227789284,0.725253901591345,0.2702808015099651
grok-beta,0.9057393766040935,0.40317103658743253,0.8239903656258458
llama3:70b,1.3412161630124946,0.5941496729134472,0.5075152240494065
llama3.1:405B-turbo,1.2164734929350736,0.5387930042589483,0.6581818278660019
llama3.3:70b,1.4790943493185056,0.6559401617557399,0.3774284703563491
llama4-maverick,0.4253404174874701,0.19965095244489045,0.06857302640117326
llama4-scout,0.8193290585999878,0.3660308299493684,0.6555626367776031
ministral-3b-latest,0.4790447983943769,0.22207614488801805,0.11238672370163742
ministral-8b-latest,0.599319955538826,0.2725608574766796,0.2602833710493061
mistral-large-latest,1.6321126227789282,0.7252539015916315,0.27028080151015427
mistral-small-latest,1.479094349318505,0.6559401617557369,0.3774284703563478
o1,0.4790447983943769,0.22207614488802946,0.11238672370165585
o3-mini,0.5993199555388257,0.27256085747660136,0.2602833710491691
open-mistral-nemo,0.37540582575782816,0.17884905181668476,0.03973440264009328
open-mixtral-8x22b,1.4790943493185054,0.6559401617555581,0.3774284703562172
phi4,0.8193290585999881,0.3660308299494436,0.6555626367776695
qwen-max,1.1032081142841155,0.48898187962512896,0.8246231058142062
qwen-plus,0.8193290585999878,0.3660308299493991,0.65556263677763
qwen-turbo,0.6668086323595859,0.3010710905511434,0.36942675262246416
qwen1.5-72b-chat,0.4790447983943768,0.22207614488805036,0.11238672370168962
qwen2-72b-instruct,0.37540582575782816,0.17884905181667898,0.03973440264008691
qwen2.5-72b-instruct,1.1032081142841152,0.48898187962511513,0.8246231058142017
qwq-plus,1.103208114284115,0.48898187962512135,0.8246231058142043
